ime planinske točke,ime bližnje točke,višina bližnje točke (m) 
Lovska koča Stanič,Partizanska bolnica Krtina,1100
Lovska koča na Brvogih,Dovška Mala Kepa,2077
Lovska koča na Brvogih,Gubno,2035
Lovska koča na Brvogih,Planina Dovška Rožca,1650
Lovska koča na Brvogih,Borovje,1476
Lovska koča na Brvogih,Erjavčev rovt (Planina Mlinca),1105
Lovska koča na Glinu,Raskovec,1967
Lovska koča na Glinu,Rodica,1966
Lovska koča na Glinu,Mali Raskovec,1946
Lovska koča na Glinu,Suha Rodica (Novi vrh),1944
Lovska koča na Glinu,Mala Rodica,1901
Lovska koča na Glinu,Zavitar,1750
Lovska koča na Glinu,Gradovec,1692
Lovska koča na Glinu,Planina Poljana,1466
Lovska koča na Glinu,Planina Suha,1385
Lovska koča nad Doslovško planino,Stol,2236
Lovska koča nad Doslovško planino,Prešernova koča na Stolu,2174
Lovska koča nad Doslovško planino,Zabreška planina,1225
Lovska koča nad Doslovško planino,Doslovška planina,1210
Lovska koča nad Doslovško planino,Žirovniška planina,1200
Lovska koča nad Doslovško planino,Slap pod Kurico,760
Lovska koča Štepih,Stolpnik,1012
Lovčev bivak Pri Koucah,Slatnik (severozahodni vrh),1609
Lovčev bivak Pri Koucah,Možic,1602
Lovčev bivak Pri Koucah,Slatnik (jugovzhodni vrh),1597
Lovčev bivak Pri Koucah,Šavnik,1574
Lovčev bivak Pri Koucah,Lajnar,1549
Lovčev bivak Pri Koucah,Dravh,1547
Lovčev bivak Pri Koucah,Planina za Šavnikom,1320
Lovčev bivak Pri Koucah,Koča na Soriški planini,1306
Lovčev bivak Pri Koucah,Vrh Bače,1273
Lovčev bivak Pri Koucah,Kup,1046
Lovčev bivak Pri Koucah,Koča na Petrovem Brdu,804
Luknja,Triglav,2864
Luknja,Glava v Zaplanji,2556
Luknja,Morbegna,2520
Luknja,Pihavec,2419
Luknja,Bovški Gamsovec,2392
Luknja,Pogačnikov dom na Kriških podih,2050
Luknja,Spodnje Kriško jezero,1880
Luknja,Lovska koča Na Utrci,1500
Luknja,Bivak pod Luknjo,1480
Lučka Brana (Baba),Planjava,2392
Lučka Brana (Baba),Ojstrica,2350
Lučka Brana (Baba),Najvišji rob (Zeleniške špice),2127
Lučka Brana (Baba),Lučki Dedec,2023
Lučka Brana (Baba),Vršiči,1980
Lučka Brana (Baba),Vežica,1965
Lučka Brana (Baba),Rjavčki vrh (Planinšca),1898
Lučka Brana (Baba),Kocbekov dom na Korošici,1808
Lučki Dedec,Planjava,2392
Lučki Dedec,Ojstrica,2350
Lučki Dedec,Lučka Brana (Baba),2244
Lučki Dedec,Najvišji rob (Zeleniške špice),2127
Lučki Dedec,Mala Ojstrica,2017
Lučki Dedec,Tolsti vrh (Veža),1985
Lučki Dedec,Vršiči,1980
Lučki Dedec,Deska (Veža),1970
Lučki Dedec,Vežica,1965
Lučki Dedec,Rjavčki vrh (Planinšca),1898
Lučki Dedec,Vodotočno jezero (Veža),1850
Lučki Dedec,Kocbekov dom na Korošici,1808
Lučki Dedec,Kapelica na Molički planini,1780
Macesnovec,Kovinarska koča v Krmi,870
Macna / Matzen,Sveta Ana (Macna) / St. Anna (Matzen),1536
Mahavšček,Bogatin,1977
Mahavšček,Vrh Planje,1971
Mahavšček,Vrh Škrli,1926
Mahavšček,Kser,1900
Mahavšček,Planina Dobrenjščica,1304
Mala Boka,Izvir Boke,850
Mala Boka,Slap Boka,680
Mala Boka,Jama Srnica,550
Mala Boncla (Bavha),Kamnitnik,1858
Mala Boncla (Bavha),Hrašenska planina,1670
Mala Boncla (Bavha),Planina Stamare,1400
Mala Boncla (Bavha),Velika Boncla,1241
Mala Boncla (Bavha),Alničje,1145
Mala Boncla (Bavha),Izvir Javornika,1000
Mala Boncla (Bavha),Dom Pristava v Javorniškem Rovtu,975
Mala Boncla (Bavha),Javorniški slapovi,690
Mala Golica,Golica,1835
Mala Golica,Krvavka,1784
Mala Golica,Koča na Golici,1582
Mala Golica,Ptičji vrh,1550
Mala Golica,Planina Možine,1352
Mala Golica,Pusti Rovt,1296
Mala Golica,Markljev Rovt,1250
Mala Košuta,Tolsta Košuta - Vzhodni vrh,2057
Mala Košuta,Tolsta Košuta - Zahodni vrh,2026
Mala Košuta,Plešivec,1801
Mala Košuta,Pečovnik (kota 1668),1668
Mala Košuta,Planina Zgornja Dolga njiva,1580
Mala Košuta,Planina Spodnja Dolga njiva,1400
Mala Martuljška Ponca,Škrlatica,2740
Mala Martuljška Ponca,Visoki Rokav,2646
Mala Martuljška Ponca,Veliki Oltar,2621
Mala Martuljška Ponca,Velika Martuljška Ponca,2602
Mala Martuljška Ponca,Rogljica,2547
Mala Martuljška Ponca,Dovški križ,2542
Mala Martuljška Ponca,Spodnji Rokav,2500
Mala Martuljška Ponca,Široka peč,2497
Mala Martuljška Ponca,Špik,2472
Mala Martuljška Ponca,Šplevta,2272
Mala Martuljška Ponca,Bivak na Jezerih,2118
Mala Martuljška Ponca,Rigljica,2074
Mala Martuljška Ponca,Na Pečeh,2039
Mala Martuljška Ponca,Pri treh macesnih,1810
Mala Martuljška Ponca,Bivak pod Špikom,1424
Mala Mojstrovka,Travnik,2379
Mala Mojstrovka,Velika Mojstrovka,2366
Mala Mojstrovka,Zadnja Mojstrovka,2354
Mala Mojstrovka,Kol,2350
Mala Mojstrovka,Suhi vrh,2109
Mala Mojstrovka,Šitna glava,2087
Mala Mojstrovka,Prednje Robičje,1941
Mala Mojstrovka,Slemenova špica,1911
Mala Mojstrovka,Sovna glava,1750
Mala Mojstrovka,Vršič vrh,1737
Mala Mojstrovka,Poštarski dom na Vršiču,1688
Mala Mojstrovka,Tičarjev dom na Vršiču,1618
Mala Mojstrovka,Erjavčeva koča na Vršiču,1525
Mala Mojstrovka,Tonkina koča na Vršiču,1380
Mala Mojstrovka,Dom v Tamarju,1108
Mala Ojstrica,Ojstrica,2350
Mala Ojstrica,Velika Zelenica,2114
Mala Ojstrica,Veliki vrh (Veža),2110
Mala Ojstrica,Krofička,2083
Mala Ojstrica,Molička peč,2029
Mala Ojstrica,Lučki Dedec,2023
Mala Ojstrica,Tolsti vrh (Veža),1985
Mala Ojstrica,Vršiči,1980
Mala Ojstrica,Deska (Veža),1970
Mala Ojstrica,Jamarski bivak na Dleskovški planoti,1910
Mala Ojstrica,Rjavčki vrh (Planinšca),1898
Mala Ojstrica,Vodotočno jezero (Veža),1850
Mala Ojstrica,Kocbekov dom na Korošici,1808
Mala Ojstrica,Kapelica na Molički planini,1780
Mala Osojnica,Straža,646
Mala Osojnica,Iglica,550
Mala Osojnica,Kapelica Na Koren,550
Mala Peca,Kordeževa glava (Peca),2125
Mala Peca,Votlina Kralja Matjaža,1670
Mala Peca,Dom na Peci,1665
Mala Poljana,Tolsti vrh,1715
Mala Poljana,Grebenc,1479
Mala Poljana,Velika Poljana,1410
Mala Poljana,Krničarjeva koča na planini Javornik,1390
Mala Poljana,Dom pod Storžičem,1123
Mala Ponca,Visoka Ponca,2274
Mala Ponca,Zadnja Ponca,2242
Mala Ponca,Srednja Ponca,2228
Mala Ponca,Glave,1760
Mala Ponca,Zavetišče pod Ponco,1657
Mala Ponca,Rifugio Zacchi,1380
Mala Raduha,Velika Raduha,2062
Mala Raduha,Lanež,1925
Mala Raduha,Jelovec,1808
Mala Raduha,Planina Javorje,1594
Mala Raduha,Planina Arta,1564
Mala Raduha,Koča na Loki pod Raduho,1534
Mala Raduha,Koča na Grohatu,1460
Mala Rinka,Skuta,2532
Mala Rinka,Dolgi hrbet,2473
Mala Rinka,Štruca,2457
Mala Rinka,Kranjska Rinka,2453
Mala Rinka,Koroška Rinka (Križ),2433
Mala Rinka,Štajerska Rinka,2374
Mala Rinka,Brana,2253
Mala Rinka,Turska gora,2251
Mala Rinka,Mrzla gora,2203
Mala Rinka,Velika (Koroška) Baba,2127
Mala Rinka,Storžek,2110
Mala Rinka,Ledinski vrh,2108
Mala Rinka,Kogel,2100
Mala Rinka,Bivak pod Skuto,2070
Mala Rinka,Bivak pod Mrzlim vrhom,1980
Mala Rinka,Kranjska koča na Ledinah,1700
Mala Rinka,Dom na Okrešlju,1396
Mala Rinka,Orlovo gnezdo (Slap Rinka),1000
Mala Rodica,Raskovec,1967
Mala Rodica,Rodica,1966
Mala Rodica,Mali Raskovec,1946
Mala Rodica,Suha Rodica (Novi vrh),1944
Mala Rodica,Jehlc (Špičasta kupa),1662
Mala Rodica,Lovska koča na Glinu,1527
Mala Rodica,Planina Suha,1385
Mala Tičarica,Srednji Vogel,2226
Mala Tičarica,Kopica,2190
Mala Tičarica,Prvi Vogel,2181
Mala Tičarica,Velika Tičarica,2091
Mala Tičarica,Slatna,2077
Mala Tičarica,Vrh nad Vodeno Rupo,1995
Mala Tičarica,Bela glava,1926
Mala Tičarica,Rušnata glava,1899
Mala Tičarica,Kovačičeva glava,1827
Mala Tičarica,Visoka glava,1822
Mala Tičarica,Koča pri Triglavskih jezerih,1685
Mala Tičarica,Planina Ovčarija,1660
Mala Tičarica,Planina Lopučnica,1558
Mala Zelnarica,Vršaki (Vzhodni vrh),2448
Mala Zelnarica,Vršaki (Južni vrh),2431
Mala Zelnarica,Vršaki (Srednji vrh),2424
Mala Zelnarica,Vršaki (Vrh za Koritami),2422
Mala Zelnarica,Veliko Špičje,2398
Mala Zelnarica,Debeli vrh,2390
Mala Zelnarica,Zadnji Vogel,2327
Mala Zelnarica,Velika Zelnarica,2320
Mala Zelnarica,Malo Špičje,2312
Mala Zelnarica,Srednji Vogel,2226
Mala Zelnarica,Kopica,2190
Mala Zelnarica,Prvi Vogel,2181
Mala Zelnarica,Velika Tičarica,2091
Mala Zelnarica,Slatna,2077
Mala Zelnarica,Kreda,2025
Mala Zelnarica,Rjavo jezero,2006
Mala Zelnarica,Vrh nad Vodeno Rupo,1995
Mala Zelnarica,Zeleno jezero,1988
Mala Zelnarica,Jezero v Ledvicah,1831
Malga Cuarnan,Veliki Karman / Monte Chiampon,1713
Malga Cuarnan,Mali Karman / Monte Cuarnan,1372
Mali Draški vrh,Tosc,2275
Mali Draški vrh,Veliki Draški vrh,2243
Mali Draški vrh,Viševnik,2050
Mali Draški vrh,Ablanca,2004
Mali Draški vrh,Draški rob,1979
Mali Draški vrh,Debeli vrh nad Lipanco,1962
Mali Draški vrh,Veliki Selišnik,1952
Mali Draški vrh,Studorski preval,1892
Mali Draški vrh,Srednji Selišnik,1890
Mali Draški vrh,Plesišče,1790
Mali Draški vrh,Planina Zgornja Krma,1720
Mali Draški vrh,Planina Konjščica,1438
Mali Grintovec,Storžič,2132
Mali Grintovec,Srednji vrh,1853
Mali Grintovec,Cjanovca,1820
Mali Grintovec,Bašeljski vrh,1744
Mali Grintovec,Licjanovec,1733
Mali Grintovec,Planina Dolga njiva,1600
Mali Grintovec,Dom na Kališču,1534
Mali Grintovec,Planina Kališče,1450
Mali Grintovec,Praprotnikova koča,1380
Mali Javornik,Veliki Javornik (Ženiklovec),1716
Mali Javornik,Stegovnik,1692
Mali Javornik,Planina Javornik,1550
Mali Kanin,Visoki Kanin,2587
Mali Kanin,Vrh Krnice,2441
Mali Kanin,Bivak Marrusich,2041
Mali Karman / Monte Cuarnan,Veliki Karman / Monte Chiampon,1713
Mali Karman / Monte Cuarnan,Malga Cuarnan,1070
Mali Ozebnik,Jalovec,2645
Mali Ozebnik,Veliki Ozebnik,2480
Mali Ozebnik,Plešivec (Loška stena),2184
Mali Ozebnik,Zavetišče pod Špičkom,2064
Mali Raskovec,Raskovec,1967
Mali Raskovec,Rodica,1966
Mali Raskovec,Suha Rodica (Novi vrh),1944
Mali Raskovec,Matajurski vrh,1936
Mali Raskovec,Mala Rodica,1901
Mali Raskovec,Poljanski vrh,1897
Mali Raskovec,Gradovec,1692
Mali Raskovec,Jehlc (Špičasta kupa),1662
Mali Raskovec,Lovska koča na Glinu,1527
Mali Raskovec,Planina Poljana,1466
Mali Rogatec (Mali Rogac),Veliki Rogatec (Veliki Rogac),1557
Mali Rogatec (Mali Rogac),Lepenatka,1425
Mali Rogatec (Mali Rogac),Kunšperski vrh (Brezovec),1336
Mali Rogatec (Mali Rogac),Bivak na Kalu,1285
Mali Travnik,Veliki Travnik,1637
Mali Travnik,Koča na Travniku,1548
Mali Travnik,Planina Mali Travnik,1500
Mali Travnik,Počka (Robnikova) planina,1165
Mali Triglav,Triglav,2864
Mali Triglav,Glava v Zaplanji,2556
Mali Triglav,Kredarica,2541
Mali Triglav,Rž,2538
Mali Triglav,Morbegna,2520
Mali Triglav,Triglavski dom na Kredarici,2515
Mali Triglav,Begunjski vrh,2461
Mali Triglav,Dom Planika pod Triglavom,2401
Mali Triglav,Šmarjetna glava,2358
Mali Triglav,Vrh Snežne konte,2342
Mali Triglav,Dom Valentina Staniča pod Triglavom,2332
Mali Triglav,Cesar,2098
Mali slap Kozjak,Tonovcov grad pri Kobaridu,500
Mali slap Kozjak,Veliki slap Kozjak,250
Mali vrh,Vajnež,2104
Mali vrh,Potoški Stol,2014
Mali vrh,Kamnitnik,1858
Mali vrh,Bivak na Belščici,1750
Mali vrh,Planina Seča,1698
Mali vrh,Hrašenska planina,1670
Mali vrh,Planina Stamare,1400
Mali vrh,Potoška planina,1270
Mali vrh nad Završnico,Zabreška planina,1225
Mali vrh nad Završnico,Smolnik,1075
Mali vrh nad Završnico,Turška jama v Gozdašnici,835
Mali vrh nad Završnico,Slap pod Gozdašnico,760
Mali vrh nad Završnico,Slap pod Kurico,760
Mali vrh nad Završnico,Sveti Lovrenc nad Zabreznico,725
Mali vrh nad Završnico,Jezero Završnica,630
Mali Šmohor,Vrh nad Peski,2176
Mali Šmohor,Veliki Lemež,2042
Mali Šmohor,Vogel (nad Lepeno),1980
Mali Šmohor,Veliki Šmohor,1944
Mali Šmohor,Planina na Polju,1530
Mali Šmohor,Krnsko jezero,1391
Mali Šmohor,Dom pri Krnskih jezerih,1385
Malnež,Potoška planina,1270
Malnež,Alničje,1145
Malnež,Ajdna,1046
Malnež,Gank,850
Malnež,Gradišče nad Sotesko (Soteska),724
Malnež,Strana,711
Malnež,Čopov rovt,710
Malo Kladivo,Veliko Kladivo,2094
Malo Kladivo,Toplar,2000
Malo Kladivo,Kofce gora,1967
Malo Kladivo,Škrbina,1869
Malo Kladivo,Zavetišče na planini Šija,1528
Malo Kladivo,Planina Ilovica,1462
Malo Kladivo,Planina Pungrat,1447
Malo Špičje,Poprovec,2496
Malo Špičje,Teme (Hribarice),2495
Malo Špičje,Vršaki (Vzhodni vrh),2448
Malo Špičje,Vršaki (Južni vrh),2431
Malo Špičje,Vršaki (Srednji vrh),2424
Malo Špičje,Vršaki (Vrh za Koritami),2422
Malo Špičje,Veliko Špičje,2398
Malo Špičje,Zadnji Vogel,2327
Malo Špičje,Velika Zelnarica,2320
Malo Špičje,Mala Zelnarica,2310
Malo Špičje,Vodnikov Vršac (Vršac nad Zadnjico),2194
Malo Špičje,Zadnjiški Ozebnik,2084
Malo Špičje,Zasavska koča na Prehodavcih,2071
Malo Špičje,Rjavo jezero,2006
Malo Špičje,Zeleno jezero,1988
Malo Špičje,Jezero v Ledvicah,1831
Maloško poldne / Mallestiger Mittagskogel,Trupejevo poldne,1931
Maloško poldne / Mallestiger Mittagskogel,Bele peči (Lepi vrh),1926
Maloško poldne / Mallestiger Mittagskogel,Murnovc,1866
Maloško poldne / Mallestiger Mittagskogel,Kresišče,1839
Maloško poldne / Mallestiger Mittagskogel,Ostra peč / Mallestiger Mittagskogel,1801
Mangart,Mangartska koča na Mangartskem sedlu,1906
Mangart,Bivak Nogara,1850
Mangartska koča na Mangartskem sedlu,Mangart,2679
Mangartska koča na Mangartskem sedlu,Bivak Nogara,1850
Mangartska planina,Skutnik/Torre Guarda,1860
Mangartska planina,Planja (nad Mangartsko planino),1553
Marija Snežna (Kavalar) / Madonna della Neve,Peč (Tromeja),1508
Marija Snežna (Kavalar) / Madonna della Neve,Kopa / Monte Coppa,1496
Marija Snežna (Kavalar) / Madonna della Neve,Bivak brez meja / Bivacco Senza Confini,1319
Marija Snežna (Kavalar) / Madonna della Neve,Dom na Tromeji,1145
Marija Snežna v Breginjskem kotu,Klatnica,1000
Marija Snežna v Breginjskem kotu,Sveta Marjeta pod Stolom,973
Marija Snežna v Breginjskem kotu,Izvir Bele,665
Markljev Rovt,Krvavka,1784
Markljev Rovt,Belska planina (Svečica),1700
Markljev Rovt,Mala Golica,1646
Markljev Rovt,Koča na Golici,1582
Markljev Rovt,Ptičji vrh,1550
Markljev Rovt,Pusti Rovt,1296
Matajur,Dom na Matajure,1545
Matajur,Visoka glava (na Matajurju),1540
Matajur,Svinska planina,1214
Matajurski vrh,Raskovec,1967
Matajurski vrh,Mali Raskovec,1946
Matajurski vrh,Suha Rodica (Novi vrh),1944
Matajurski vrh,Poljanski vrh,1897
Matajurski vrh,Konjski vrh,1879
Matajurski vrh,Četrt,1832
Matajurski vrh,Gradovec,1692
Matajurski vrh,Planina Poljana,1466
Matkov kot,Matkova kopa,1957
Matkov kot,Veliki vrh nad Matkovim kotom,1539
Matkova kopa,Mrzla gora,2203
Matkova kopa,Matkov kot,920
Medvedjak,Koča na Treh plotih,1530
Medvedjak,Javorca (Golte),1465
Medvedjak,Hotel Golte,1410
Medvedjak,Mozirska koča na Golteh,1356
Meja,Podrta gora,2061
Meja,Vrh nad Škrbino,2054
Meja,Rušnati vrh,1915
Meja,Tolminski Migovec,1868
Meja,Vrh Planje (nad Globokim),1863
Meja,Planina za Migovcem,1600
Meja,Koča na planini Razor,1315
Mejnik,Košutnikov turn,2133
Mejnik,Cjajnik / Lärchenturm,1965
Mejnik,Koča pod Košuto / Koschutahaus,1280
Mesnovec,Javorov vrh (Pokljuka),1482
Mesnovec,Zgornji Goreljek (Pokljuka),1260
Mešenik,Kamniški Dedec,1583
Mešenik,Kopa (Belska Kopa),1180
Mešenik,Slap Orglice,870
Mešenik,Dom v Kamniški Bistrici,600
Mihov dom na Vršiču,Kumlehova glava,1788
Mihov dom na Vršiču,Visoki Mavrinc,1562
Mihov dom na Vršiču,Erjavčeva koča na Vršiču,1525
Mihov dom na Vršiču,Tonkina koča na Vršiču,1380
Mihov dom na Vršiču,Koča na Gozdu,1226
Mihov dom na Vršiču,Ruska kapelica,1130
Mihov dom na Vršiču,Koča v Krnici,1113
Mihčeva kopišča,Javorov vrh,1434
Mihčeva kopišča,Potoška gora,1283
Mihčeva kopišča,Baba,1119
Mihčeva kopišča,Planinska koča Iskra na Jakobu,961
Mihčeva kopišča,Planinska koča pri Franciju,930
Mihčeva kopišča,Dom Čemšenik,835
Mihčeva kopišča,Jamna peč,720
Mihčeva kopišča,Sveti Nikolaj (Možjanca),689
Mihčeva kopišča,Novi grad (Pusti grad),630
Mihčeva kopišča,Senčnica Josipine Turnograjske,570
Mirca,Smučarski dom Črni vrh,1156
Mirca,Jelenkamen,1096
Mirca,Kalvarija nad Jesenicami,784
Mirca,Kapelica sv. Barbare na Pejcah,750
Mirca,Slapišče pod Kalvarijo,700
Mišelj vrh,Mišeljski Konec,2464
Mišelj vrh,Dom Planika pod Triglavom,2401
Mišelj vrh,Vrh Hribaric,2388
Mišelj vrh,Šmarjetna glava,2358
Mišelj vrh,Škednjovec,2309
Mišelj vrh,Vernar,2225
Mišelj vrh,Koča na Doliču,2151
Mišelj vrh,Prevalski Stog,2075
Mišelj vrh,Eva,2019
Mišelj vrh,Adam,2012
Mišelj vrh,Vodnikov dom na Velem polju,1817
Mišelj vrh,Velo polje,1680
Mišelj vrh,Planina pod Mišelj vrhom,1645
Mišeljski Konec,Kanjavec,2569
Mišeljski Konec,Kanjavec (Zahodni vrh),2569
Mišeljski Konec,Poprovec,2496
Mišeljski Konec,Teme (Hribarice),2495
Mišeljski Konec,Vršaki (Vzhodni vrh),2448
Mišeljski Konec,Vršaki (Južni vrh),2431
Mišeljski Konec,Vršaki (Srednji vrh),2424
Mišeljski Konec,Vršaki (Vrh za Koritami),2422
Mišeljski Konec,Debeli vrh,2390
Mišeljski Konec,Vrh Hribaric,2388
Mišeljski Konec,Šmarjetna glava,2358
Mišeljski Konec,Mišelj vrh,2350
Mišeljski Konec,Škednjovec,2309
Mišeljski Konec,Vodnikov Vršac (Vršac nad Zadnjico),2194
Mišeljski Konec,Koča na Doliču,2151
Mišeljski Konec,Prevalski Stog,2075
Mišeljski Konec,Rjavo jezero,2006
Mišeljski Konec,Zeleno jezero,1988
Mladinski izobraževalni center v Bavšici,Pri Banderi,1974
Mladinski izobraževalni center v Bavšici,Vrh Ovčje planje,1965
Mladinski izobraževalni center v Bavšici,Vrh Leh,1958
Mladinski izobraževalni center v Bavšici,Planina Bala,1181
Mladinski izobraževalni center v Bavšici,Logje,840
Mojstrovica,Murnovc,1866
Mojstrovica,Kresišče,1839
Mojstrovica,Visoki vrh,1828
Mojčin dom na Vitrancu,Ciprnik,1745
Mojčin dom na Vitrancu,Bedančev dom,1116
Mojčin dom na Vitrancu,Jezero Jasna,830
Mokrica,Vrh Korena,1999
Mokrica,Kompotela,1989
Mokrica,Košutna,1974
Mokrica,Planina Košutna,1778
Mokrica,Planina Koren,1675
Mokrica,Dom v Kamniški Bistrici,600
Mokrišče Blata,Zavetišče v Gozdu,891
Mokrišče Blata,Sebenje,500
Molička peč,Velika Zelenica,2114
Molička peč,Veliki vrh (Veža),2110
Molička peč,Mala Ojstrica,2017
Molička peč,Tolsti vrh (Veža),1985
Molička peč,Dleskovec,1965
Molička peč,Jamarski bivak na Dleskovški planoti,1910
Molička peč,Križevnik,1909
Molička peč,Kapelica na Molički planini,1780
Molička peč,Planina Polšak,1695
Molička peč,Robanova planina,890
Montaž / Jôf di Montasio,Vrh Brda / Cima Verde,2661
Montaž / Jôf di Montasio,Bivak Suringar,2430
Montaž / Jôf di Montasio,Špik Hude police / Cima di Terrarossa,2420
Montaž / Jôf di Montasio,Bivak Stuparich,1587
Morbegna,Triglav,2864
Morbegna,Mali Triglav,2725
Morbegna,Glava v Zaplanji,2556
Morbegna,Triglavski dom na Kredarici,2515
Morbegna,Dom Planika pod Triglavom,2401
Morbegna,Šmarjetna glava,2358
Morbegna,Koča na Doliču,2151
Morbegna,Luknja,1758
Morbegna,Bivak pod Luknjo,1480
Mozirska koča na Golteh,Boskovec,1587
Mozirska koča na Golteh,Medvedjak,1573
Mozirska koča na Golteh,Koča na Treh plotih,1530
Mozirska koča na Golteh,Javorca (Golte),1465
Mozirska koča na Golteh,Hotel Golte,1410
Močnikova planina,Ruš,1614
Močnikova planina,Bukovec,1506
Močnikova planina,Lovska koča Stanič,1280
Močnikova planina,Partizanska bolnica Krtina,1100
Možic,Slatnik (severozahodni vrh),1609
