točka,vrsta
Spodnji Martuljkov slap,slap
Spodnji Plot,vrh
Spodnji Rokav,vrh
Spodnji Stenar,vrh
Spominska plošča Jožeta Rozmana,
Spominsko obeležje Aleš Kunaver,
Srednja Ponca,vrh
Srednja peč,vrh
Srednji Selišnik,vrh
Srednji Vogel,vrh
Srednji vrh,vrh
Srednji vrh,vrh
Srednji vrh (na Matajurju),vrh
Srednji vrh (nad Završnico),vrh
Srnjak,koča
Stadorski Orliči,vrh
Stara gora / Altberg,vrh
Stara koča na Kaninu,
Stegovnik,vrh
Stegovniški slap,slap
Stenar,vrh
Stenica,vrh
Stol,vrh
